@relation results

@attribute seed numeric
@attribute demands_count numeric
@attribute erlang numeric
@attribute usage_1 numeric
@attribute usage_2 numeric
@attribute usage_3 numeric
@attribute usage_4 numeric
@attribute usage_5 numeric
@attribute usage_class {B,E,A,D,C}
@attribute blocked_all numeric

@data
120,100000,1000,92,53,33,32,17,E,14.668345
120,100000,1000,82,50,26,21,20,E,17.039953
120,100000,1000,71,68,52,25,14,E,12.344003
120,100000,1000,74,62,21,20,15,A,0.036593
120,100000,1000,69,47,41,23,8,A,0.072847
120,100000,1000,94,80,55,29,11,E,15.685753
120,100000,1000,94,42,38,29,19,E,15.830516
120,100000,1000,83,80,59,27,4,E,10.771514
120,100000,1000,82,80,57,20,4,E,14.278188
120,100000,1000,84,40,32,22,13,E,13.697525
120,100000,1000,92,71,43,20,9,E,12.718066
120,100000,1000,92,73,26,16,6,E,13.799597
120,100000,1000,88,76,49,29,9,E,11.710484
120,100000,1000,96,73,60,24,15,E,16.412703
120,100000,1000,47,32,31,24,19,E,10.804211
120,100000,1000,76,60,52,24,1,A,0.017788
120,100000,1000,69,63,51,29,14,E,12.6924
120,100000,1000,77,64,53,22,14,E,10.679015
120,100000,1000,56,50,49,16,2,A,0.086316
120,100000,1000,88,73,55,28,4,D,9.438914
120,100000,1000,86,70,52,10,2,E,14.451497
120,100000,1000,86,68,43,23,15,E,13.226389
120,100000,1000,80,58,47,16,13,E,13.285683
120,100000,1000,74,59,52,23,15,D,5.262552
120,100000,1000,57,42,41,21,18,B,0.164839
120,100000,1000,93,76,57,29,4,E,13.853978
120,100000,1000,99,74,53,39,10,E,14.00501
120,100000,1000,80,77,31,21,1,D,6.488083
120,100000,1000,66,53,45,21,20,D,5.667194
120,100000,1000,65,57,31,30,16,E,11.350228
120,100000,1000,93,75,57,38,20,E,16.610153
120,100000,1000,82,69,42,34,11,E,11.455094
120,100000,1000,94,71,55,33,6,E,13.876764
120,100000,1000,79,66,53,27,1,A,0.015755
120,100000,1000,93,62,18,3,2,D,9.455008
120,100000,1000,84,65,35,33,20,D,6.49054
120,100000,1000,93,74,55,21,1,E,13.366578
120,100000,1000,93,52,38,37,3,B,0.240227
120,100000,1000,90,75,42,35,10,D,9.750887
120,100000,1000,78,47,43,28,8,D,9.468391
120,100000,1000,88,70,56,32,11,E,14.838944
120,100000,1000,85,75,54,31,2,D,9.739113
120,100000,1000,76,72,51,33,6,C,1.919022
120,100000,1000,94,74,40,39,2,C,2.203297
120,100000,1000,92,76,60,7,2,E,15.414015
120,100000,1000,72,58,41,31,4,A,0.053619
120,100000,1000,55,50,40,27,1,A,0.088772
120,100000,1000,62,60,52,33,4,A,0.039727
120,100000,1000,95,74,49,32,3,D,9.089076
120,100000,1000,58,53,47,23,20,A,0.087332
120,100000,1000,71,55,52,21,18,B,0.240227
120,100000,1000,71,70,27,25,20,D,7.043418
120,100000,1000,79,77,34,23,11,E,13.405204
120,100000,1000,53,39,36,12,11,B,0.221338
120,100000,1000,74,63,39,38,11,E,12.450394
120,100000,1000,98,66,41,39,17,E,15.490081
120,100000,1000,74,62,59,34,15,B,0.929144
120,100000,1000,90,69,58,28,20,E,14.494697
120,100000,1000,70,50,42,15,3,A,0.07056
120,100000,1000,82,56,47,30,8,A,0.064038
120,100000,1000,96,70,49,10,3,E,11.827548
120,100000,1000,90,72,29,22,17,E,12.576522
120,100000,1000,95,77,54,16,4,E,14.848854
120,100000,1000,95,67,60,23,4,E,11.746823
120,100000,1000,64,44,35,28,15,D,5.587824
120,100000,1000,80,71,34,25,3,D,5.95977
120,100000,1000,77,71,38,19,18,D,9.529549
120,100000,1000,87,77,59,31,17,E,15.638233
120,100000,1000,70,36,31,25,3,B,0.117403
120,100000,1000,68,55,39,20,8,A,0.03905
120,100000,1000,82,69,47,14,12,E,13.830091
120,100000,1000,82,64,31,4,3,C,3.584434
120,100000,1000,91,80,55,19,17,E,15.20496
120,100000,1000,91,79,38,29,7,E,14.543064
120,100000,1000,90,53,49,26,1,D,8.890694
120,100000,1000,99,45,43,26,2,E,10.29394
120,100000,1000,82,64,55,21,20,D,8.041174
120,100000,1000,77,52,48,20,1,A,0.080386
120,100000,1000,90,65,59,23,12,E,15.353873
120,100000,1000,87,29,21,16,11,E,14.389068
120,100000,1000,96,61,34,15,12,E,14.311647
120,100000,1000,88,60,40,36,12,E,15.642976
120,100000,1000,94,79,33,31,2,E,12.207541
120,100000,1000,62,57,40,35,9,A,0.033798
120,100000,1000,90,67,28,15,6,E,13.323208
120,100000,1000,97,69,39,32,12,E,16.268787
120,100000,1000,99,70,47,18,6,E,12.500794
120,100000,1000,97,72,45,29,17,E,13.472291
120,100000,1000,87,64,57,9,1,D,7.630009
120,100000,1000,66,65,21,18,8,A,0.033035
120,100000,1000,85,70,48,30,14,E,13.953593
120,100000,1000,98,67,36,23,1,D,9.984423
120,100000,1000,92,80,55,39,11,E,17.006494
120,100000,1000,90,80,45,14,2,E,12.991329
120,100000,1000,90,63,38,27,14,E,12.581689
120,100000,1000,92,59,19,18,17,D,9.836525
120,100000,1000,80,57,51,32,7,C,3.168865
120,100000,1000,77,71,46,38,16,D,8.846393
120,100000,1000,89,59,43,26,14,E,14.664872
120,100000,1000,91,57,42,6,2,D,7.334723
120,100000,1000,76,75,55,29,16,E,15.532096
120,100000,1000,68,66,48,24,6,A,0.049638
120,100000,1000,99,62,58,35,14,E,16.471997
120,100000,1000,48,46,40,24,18,B,0.399475
120,100000,1000,88,69,29,23,6,D,9.673127
120,100000,1000,74,67,53,32,19,E,12.904589
120,100000,1000,50,40,28,27,10,E,13.525063
120,100000,1000,82,78,48,30,15,E,14.979895
120,100000,1000,83,65,42,20,12,E,14.682152
120,100000,1000,93,78,40,35,19,E,16.339686
120,100000,1000,98,67,45,28,20,E,16.424562
120,100000,1000,89,63,57,32,16,E,14.664279
120,100000,1000,77,58,30,22,5,E,12.490883
120,100000,1000,88,52,39,38,8,D,9.098055
120,100000,1000,86,77,36,14,2,E,12.130034
120,100000,1000,99,76,51,37,20,E,17.12322
120,100000,1000,54,53,48,27,6,A,0.059464
120,100000,1000,89,47,40,25,17,E,14.885532
120,100000,1000,85,47,40,24,20,E,13.265862
120,100000,1000,57,54,39,37,1,A,0.056414
120,100000,1000,83,80,37,27,19,E,15.934027
120,100000,1000,92,69,38,36,20,E,15.169552
120,100000,1000,90,78,54,7,2,E,13.451708
120,100000,1000,86,80,60,22,15,E,14.853174
120,100000,1000,59,56,50,28,4,A,0.031087
120,100000,1000,87,72,53,32,5,E,10.000178
120,100000,1000,99,70,48,17,5,E,14.512994
120,100000,1000,88,63,26,24,1,D,8.06701
120,100000,1000,91,69,44,22,9,E,13.077051
120,100000,1000,68,50,38,25,4,C,3.817715
120,100000,1000,84,60,46,39,9,C,3.508537
120,100000,1000,89,76,55,21,17,E,14.596175
120,100000,1000,99,52,34,29,16,E,14.22118
120,100000,1000,67,44,35,26,12,E,14.264126
120,100000,1000,88,19,17,12,7,E,14.245999
120,100000,1000,99,80,50,35,8,E,12.2914
120,100000,1000,96,73,49,25,12,E,15.037665
120,100000,1000,99,47,45,30,20,E,15.510326
120,100000,1000,85,71,48,29,5,E,10.747796
120,100000,1000,95,77,51,32,7,E,15.148545
120,100000,1000,96,69,47,34,13,E,13.714721
120,100000,1000,72,71,29,25,19,D,8.307745
120,100000,1000,82,76,47,23,17,E,13.430277
120,100000,1000,97,41,39,17,10,E,15.253412
120,100000,1000,89,79,54,26,19,E,16.913402
120,100000,1000,73,72,36,20,11,D,7.198685
120,100000,1000,87,68,26,22,3,D,7.43654
120,100000,1000,96,68,51,22,15,E,14.21254
120,100000,1000,88,76,38,34,5,D,6.763463
120,100000,1000,48,43,24,17,7,B,0.284613
120,100000,1000,89,71,38,22,15,E,13.133551
120,100000,1000,70,60,48,30,15,E,17.137196
120,100000,1000,48,40,23,18,5,D,9.9995
120,100000,1000,75,68,43,19,11,E,13.009286
120,100000,1000,87,80,54,39,6,E,12.577707
120,100000,1000,68,65,58,36,11,E,15.560896
120,100000,1000,68,58,16,13,8,B,0.140443
120,100000,1000,82,62,22,14,12,E,11.342181
120,100000,1000,88,74,38,22,19,E,15.08815
120,100000,1000,78,68,57,14,2,A,0.037779
120,100000,1000,82,72,31,20,19,E,14.730435
120,100000,1000,70,62,36,24,9,D,5.821444
120,100000,1000,96,70,45,26,14,E,12.568559
120,100000,1000,62,59,56,37,3,A,0.028546
120,100000,1000,65,60,46,39,8,A,0.039219
120,100000,1000,92,66,42,37,16,E,13.002171
120,100000,1000,82,61,57,22,11,B,0.509339
120,100000,1000,92,64,60,28,6,D,9.988234
120,100000,1000,84,71,30,6,1,D,6.352468
120,100000,1000,78,54,48,34,10,E,13.306267
120,100000,1000,82,71,54,29,7,D,7.463561
120,100000,1000,87,67,51,21,18,E,16.861392
120,100000,1000,78,72,46,29,14,E,14.627855
120,100000,1000,91,42,36,17,16,E,15.95783
120,100000,1000,75,44,28,19,3,E,11.280006
120,100000,1000,75,70,59,34,8,A,0.092245
120,100000,1000,48,45,36,20,19,B,0.320868
120,100000,1000,66,59,56,34,2,A,0.030664
120,100000,1000,85,80,52,33,18,E,16.895783
120,100000,1000,81,70,59,39,9,D,9.916488
120,100000,1000,53,48,39,38,17,D,5.55157
120,100000,1000,66,42,38,20,9,E,10.807514
120,100000,1000,95,47,36,31,6,E,12.501133
120,100000,1000,88,61,45,24,15,E,12.594141
120,100000,1000,80,67,41,27,14,E,13.584188
120,100000,1000,88,61,59,29,11,E,16.354933
120,100000,1000,80,54,25,13,10,E,13.068073
120,100000,1000,82,52,48,36,15,E,14.871217
120,100000,1000,99,74,43,28,11,E,14.909165
120,100000,1000,70,60,46,37,12,E,11.491179
120,100000,1000,96,66,45,30,14,E,13.850336
120,100000,1000,87,77,42,30,5,E,10.473686
120,100000,1000,93,62,60,39,10,E,13.299236
120,100000,1000,86,64,36,20,5,E,16.868592
120,100000,1000,80,57,55,30,15,E,17.100349
120,100000,1000,77,72,56,20,4,E,13.640433
120,100000,1000,75,67,21,18,14,D,5.428661
120,100000,1000,93,62,47,34,9,E,11.039017
120,100000,1000,72,61,44,12,6,D,6.613279
120,100000,1000,84,77,58,38,19,E,16.608375
120,100000,1000,99,44,30,14,6,E,13.572499
120,100000,1000,95,56,55,21,19,E,15.407238
120,100000,1000,93,64,48,10,8,E,13.097635
120,100000,1000,88,65,60,29,18,E,17.314995
120,100000,1000,87,43,37,30,12,E,15.409864
120,100000,1000,72,59,15,13,9,A,0.028715
120,100000,1000,75,74,50,26,12,E,13.459331
120,100000,1000,94,31,21,7,5,E,14.12453
120,100000,1000,82,72,59,26,7,B,0.225742
120,100000,1000,84,79,47,38,17,E,14.587789
120,100000,1000,78,48,32,18,17,E,13.453063
120,100000,1000,53,49,30,23,8,A,0.089535
120,100000,1000,71,40,32,17,16,E,14.452174
120,100000,1000,92,77,48,26,20,E,15.148037
120,100000,1000,99,54,51,30,10,E,14.840638
120,100000,1000,61,58,53,38,14,B,0.10673
120,100000,1000,59,53,41,31,17,E,10.459625
120,100000,1000,80,51,50,22,11,D,4.544665
120,100000,1000,78,76,54,25,11,E,15.500924
120,100000,1000,91,69,46,25,9,E,10.254805
120,100000,1000,75,46,33,23,19,E,13.688208
120,100000,1000,76,72,59,24,8,A,0.071746
120,100000,1000,91,71,54,32,19,E,17.162862
120,100000,1000,78,75,60,16,12,E,12.941098
120,100000,1000,95,54,50,36,4,D,9.137867
120,100000,1000,81,59,54,19,6,A,0.07505
120,100000,1000,89,79,34,29,4,E,11.557928
120,100000,1000,59,56,49,29,5,A,0.09377
120,100000,1000,77,54,48,33,7,D,6.556611
120,100000,1000,79,21,15,8,7,E,14.237444
120,100000,1000,96,63,50,39,18,E,15.356669
120,100000,1000,91,59,45,17,4,E,14.197124
120,100000,1000,81,59,43,15,11,E,13.604857
120,100000,1000,32,19,13,9,5,E,13.132788
120,100000,1000,91,57,55,8,6,D,7.123127
120,100000,1000,94,80,57,24,12,E,15.557423
120,100000,1000,87,79,58,39,19,E,17.581142
120,100000,1000,88,65,38,26,17,E,16.121228
120,100000,1000,91,66,42,35,17,E,16.245747
120,100000,1000,85,65,57,31,11,E,16.322575
120,100000,1000,85,64,50,33,20,E,16.532308
120,100000,1000,95,65,27,21,17,E,13.50719
120,100000,1000,98,55,51,36,7,E,13.017926
120,100000,1000,82,78,29,14,6,E,10.929915
120,100000,1000,79,78,48,18,8,E,12.120039
120,100000,1000,89,50,40,16,10,E,12.677492
120,100000,1000,87,79,34,26,12,E,15.108733
120,100000,1000,74,71,51,18,13,D,8.946516
120,100000,1000,96,77,45,29,9,E,14.850887
120,100000,1000,85,80,40,15,2,E,13.068835
120,100000,1000,77,67,41,14,10,D,8.639116
120,100000,1000,93,69,53,30,20,E,15.572246
120,100000,1000,88,60,59,29,8,C,3.320489
120,100000,1000,98,69,60,38,1,D,6.115799
120,100000,1000,80,78,50,18,13,E,15.952493
120,100000,1000,87,53,52,29,7,E,12.625821
120,100000,1000,95,76,6,5,4,E,11.403084
120,100000,1000,96,64,44,19,13,E,15.074004
120,100000,1000,99,53,42,38,6,D,8.64801
120,100000,1000,95,76,49,25,19,E,16.752375
120,100000,1000,79,77,26,21,17,E,13.213175
120,100000,1000,91,78,37,11,7,E,13.552847
120,100000,1000,93,62,50,12,4,E,14.988281
120,100000,1000,69,60,47,37,20,E,15.764191
120,100000,1000,83,57,20,11,1,D,9.39961
120,100000,1000,91,47,19,13,10,E,15.318974
120,100000,1000,90,69,60,35,18,E,17.763515
120,100000,1000,61,57,46,24,11,B,0.180509
120,100000,1000,85,62,37,25,11,E,14.566104
120,100000,1000,93,78,38,26,9,E,11.809082
120,100000,1000,83,77,57,36,15,E,17.96825
120,100000,1000,84,54,40,31,1,E,12.035079
120,100000,1000,62,51,41,39,15,B,0.137394
120,100000,1000,95,79,39,21,10,E,12.729078
120,100000,1000,95,74,26,18,9,E,13.212582
120,100000,1000,85,78,42,36,15,E,13.995861
120,100000,1000,50,34,27,25,12,E,13.750636
120,100000,1000,90,77,26,25,2,D,8.045325
120,100000,1000,79,44,31,24,20,E,15.036987
120,100000,1000,79,66,54,8,6,A,0.074457
120,100000,1000,83,60,57,33,13,E,16.54476
120,100000,1000,90,57,37,18,6,E,13.412489
120,100000,1000,98,62,26,19,5,E,15.12559
120,100000,1000,68,67,43,24,8,A,0.022278
120,100000,1000,99,31,23,10,9,E,13.993151
120,100000,1000,98,59,21,10,3,E,13.625949
120,100000,1000,90,71,34,19,13,E,14.168154
120,100000,1000,89,56,45,21,19,E,15.42706
120,100000,1000,66,63,34,32,10,A,0.090551
120,100000,1000,82,68,50,37,8,D,5.428491
120,100000,1000,99,77,49,33,17,E,15.317534
120,100000,1000,82,60,59,10,9,B,0.180594
120,100000,1000,84,74,39,36,3,B,0.184152
120,100000,1000,85,76,21,18,4,D,9.426885
120,100000,1000,96,70,45,38,14,E,15.610873
120,100000,1000,79,64,55,21,16,E,13.386823
120,100000,1000,80,68,59,19,1,B,0.18737
120,100000,1000,69,65,50,34,4,A,0.039727
120,100000,1000,93,79,57,23,9,E,16.397879
120,100000,1000,99,62,27,24,11,E,16.220674
120,100000,1000,80,57,49,39,16,E,13.457129
120,100000,1000,81,69,31,29,14,E,13.127621
120,100000,1000,65,58,52,18,16,A,0.04049
120,100000,1000,81,53,33,20,9,D,7.306092
120,100000,1000,64,56,55,16,11,E,10.922884
120,100000,1000,96,75,53,25,3,E,13.7885
120,100000,1000,74,57,51,38,20,E,14.820139
120,100000,1000,98,33,26,25,2,E,15.601555
120,100000,1000,84,62,50,14,9,B,0.353225
120,100000,1000,78,73,60,29,3,A,0.035153
120,100000,1000,92,66,55,35,8,E,12.800993
120,100000,1000,66,65,42,31,12,E,16.219149
120,100000,1000,95,70,53,35,20,E,15.865923
120,100000,1000,80,43,31,26,14,E,13.993828
120,100000,1000,53,46,43,37,16,C,3.69091
120,100000,1000,86,70,44,29,18,E,11.575038
120,100000,1000,96,54,53,25,20,E,15.039613
120,100000,1000,75,60,39,14,13,E,11.483894
120,100000,1000,92,41,38,32,13,E,15.27713
120,100000,1000,83,61,50,27,18,E,12.044735
120,100000,1000,68,51,37,36,20,D,4.519677
120,100000,1000,61,50,28,26,15,B,0.102834
120,100000,1000,75,55,50,13,10,E,12.923818
120,100000,1000,87,78,50,37,6,E,11.727679
120,100000,1000,67,54,46,27,13,B,0.698404
120,100000,1000,82,47,38,28,18,E,15.414693
120,100000,1000,82,79,59,34,14,E,17.361668
120,100000,1000,87,79,53,21,3,E,12.554667
120,100000,1000,74,45,39,32,17,E,13.043931
120,100000,1000,91,78,50,39,20,E,16.284034
120,100000,1000,86,76,36,17,13,E,13.112543
120,100000,1000,93,58,39,34,4,D,4.832159
120,100000,1000,75,38,16,9,1,E,11.149982
120,100000,1000,77,64,37,36,1,A,0.006438
120,100000,1000,77,60,37,36,4,A,0.005675
120,100000,1000,95,75,57,38,11,E,14.580589
120,100000,1000,87,77,26,18,14,E,13.798241
120,100000,1000,91,76,50,20,3,E,12.025337
120,100000,1000,79,58,57,33,17,E,15.303389
120,100000,1000,80,75,52,34,4,D,6.352638
120,100000,1000,83,69,52,29,20,E,12.100557
120,100000,1000,98,76,41,29,20,E,14.510114
120,100000,1000,98,54,35,29,12,E,15.562675
120,100000,1000,70,64,47,39,18,E,13.676179
120,100000,1000,89,63,35,32,1,D,4.038545
120,100000,1000,94,46,32,27,13,E,14.684185
120,100000,1000,65,62,53,24,16,B,0.139765
120,100000,1000,94,76,43,31,7,E,13.382333
120,100000,1000,84,72,37,30,20,E,14.759065
120,100000,1000,68,53,41,31,2,D,4.858756
120,100000,1000,91,65,39,26,16,E,13.313721
120,100000,1000,78,58,45,34,1,A,0.065732
120,100000,1000,65,48,47,25,20,A,0.072763
120,100000,1000,63,56,53,16,1,A,0.061243
120,100000,1000,43,39,28,27,16,C,3.713103
120,100000,1000,80,75,53,34,7,E,14.032793
120,100000,1000,80,75,56,22,13,E,13.877526
120,100000,1000,89,69,32,6,2,E,11.374284
120,100000,1000,86,64,49,37,10,D,5.841943
120,100000,1000,73,68,49,30,4,A,0.031595
120,100000,1000,93,70,56,34,2,D,9.76749
120,100000,1000,91,76,51,22,16,E,14.232954
120,100000,1000,97,57,30,12,6,E,14.252691
120,100000,1000,89,79,43,35,11,E,14.587874
120,100000,1000,83,54,50,17,14,E,13.096449
120,100000,1000,91,48,47,25,17,E,14.573643
120,100000,1000,76,63,24,14,6,D,5.11152
120,100000,1000,73,60,58,35,6,B,0.169582
120,100000,1000,83,72,22,6,5,D,7.98171
120,100000,1000,87,49,44,38,11,E,13.199367
120,100000,1000,72,64,47,36,17,E,12.014326
120,100000,1000,88,63,33,8,4,E,11.498549
120,100000,1000,65,52,47,39,17,B,0.263267
120,100000,1000,98,75,45,33,13,E,15.397751
120,100000,1000,70,56,33,28,19,E,14.006026
120,100000,1000,97,75,60,24,18,E,18.093023
120,100000,1000,90,58,43,36,7,E,11.779943
120,100000,1000,49,46,16,11,10,C,1.136166
120,100000,1000,78,77,58,6,1,A,0.073102
120,100000,1000,55,48,27,21,14,B,0.221507
120,100000,1000,86,76,39,23,15,E,14.126224
120,100000,1000,78,75,43,23,12,E,12.092764
120,100000,1000,87,79,58,38,17,E,16.023901
120,100000,1000,88,77,59,33,14,E,16.286999
120,100000,1000,99,72,55,35,11,E,13.014369
120,100000,1000,85,57,30,16,13,E,14.77643
120,100000,1000,77,33,24,13,11,E,15.079425
120,100000,1000,88,60,46,32,9,D,6.151375
120,100000,1000,92,76,40,13,4,E,12.598037
120,100000,1000,94,72,43,33,4,E,11.989507
120,100000,1000,83,39,22,8,3,E,11.219102
120,100000,1000,76,75,54,36,1,B,0.203973
120,100000,1000,80,75,44,26,8,D,8.225834
120,100000,1000,69,43,38,28,14,E,13.682702
120,100000,1000,97,68,31,24,14,E,14.024238
120,100000,1000,86,79,59,38,13,E,15.709386
120,100000,1000,77,76,58,22,6,A,0.092923
120,100000,1000,94,55,51,39,20,E,14.47064
120,100000,1000,77,62,59,26,8,A,0.009741
120,100000,1000,85,69,49,26,15,E,13.895654
120,100000,1000,85,73,47,28,3,D,6.717807
120,100000,1000,86,57,51,21,20,D,5.708276
120,100000,1000,83,51,42,29,16,E,14.133763
120,100000,1000,62,41,36,28,11,E,12.794725
120,100000,1000,91,52,38,33,11,E,14.851057
120,100000,1000,74,72,59,13,6,B,0.46597
120,100000,1000,53,51,24,21,7,B,0.150608
120,100000,1000,98,66,45,26,11,E,17.401734
120,100000,1000,82,78,58,33,15,E,17.283908
120,100000,1000,84,77,57,26,6,E,13.294493
120,100000,1000,72,68,40,37,16,A,0.045826
120,100000,1000,56,35,33,31,14,E,14.759913
120,100000,1000,92,74,55,38,5,D,9.71387
120,100000,1000,81,72,45,25,19,E,15.296951
120,100000,1000,58,52,30,25,12,E,15.821453
120,100000,1000,95,70,47,24,5,E,13.678805
120,100000,1000,68,63,53,38,15,B,0.389226
120,100000,1000,95,66,44,27,19,E,16.439047
120,100000,1000,85,79,60,31,8,E,16.02695
120,100000,1000,94,72,55,17,1,E,11.934532
120,100000,1000,95,78,37,34,2,D,7.429255
120,100000,1000,88,74,51,36,12,E,14.141387
120,100000,1000,83,77,42,36,15,E,16.122753
120,100000,1000,96,61,29,19,2,E,13.61536
120,100000,1000,50,28,14,11,4,D,4.274198
120,100000,1000,82,39,38,4,2,D,7.619421
120,100000,1000,59,36,19,9,7,D,8.336799
120,100000,1000,74,55,26,25,3,A,0.064885
120,100000,1000,94,46,36,14,10,E,14.892563
120,100000,1000,77,55,47,32,11,D,9.021481
120,100000,1000,78,75,59,8,3,A,0.046588
120,100000,1000,88,76,31,25,8,E,10.447682
120,100000,1000,98,53,34,33,12,E,15.508632
120,100000,1000,86,60,37,31,19,E,15.812135
120,100000,1000,99,48,32,23,20,E,15.464161
120,100000,1000,54,39,36,16,15,B,0.571598
120,100000,1000,92,73,58,9,6,E,13.073409
120,100000,1000,63,61,31,24,20,A,0.081572
120,100000,1000,68,55,29,19,8,B,0.247681
120,100000,1000,96,53,49,31,17,E,16.011788
120,100000,1000,94,67,54,28,9,E,11.486097
120,100000,1000,77,52,26,24,11,E,13.99764
120,100000,1000,83,54,50,30,18,E,14.444043
120,100000,1000,88,61,53,38,18,E,15.930131
120,100000,1000,82,46,41,30,9,D,5.245356
120,100000,1000,98,77,41,21,18,E,15.430025
120,100000,1000,90,75,59,38,12,E,15.577329
120,100000,1000,81,71,52,20,11,E,12.985314
120,100000,1000,96,75,46,30,12,E,17.329056
120,100000,1000,86,59,58,26,10,E,12.062269
120,100000,1000,95,33,32,29,1,D,7.965701
120,100000,1000,78,47,44,35,4,C,2.562282
120,100000,1000,68,48,34,14,8,B,0.102241
120,100000,1000,84,69,34,26,6,D,7.601463
120,100000,1000,94,75,39,17,7,E,14.103438
120,100000,1000,72,61,56,22,9,B,0.185168
120,100000,1000,91,76,38,20,4,E,12.4127
120,100000,1000,92,79,53,39,13,E,14.125801
120,100000,1000,76,63,48,21,19,E,15.537263
120,100000,1000,86,44,30,21,12,E,15.838224
120,100000,1000,92,74,41,13,10,E,13.108054
120,100000,1000,89,74,34,32,4,D,6.924998
120,100000,1000,51,47,35,34,15,B,0.289696
120,100000,1000,86,47,41,16,6,E,15.248499
120,100000,1000,72,51,48,29,18,E,14.152653
120,100000,1000,77,71,57,37,20,E,17.481358
120,100000,1000,90,68,57,28,15,E,17.403005
120,100000,1000,81,70,40,27,19,E,16.611424
120,100000,1000,65,53,41,16,11,C,2.765154
120,100000,1000,98,65,42,30,18,E,14.36535
120,100000,1000,84,46,29,19,4,E,10.938809
120,100000,1000,56,47,23,16,9,C,2.663676
120,100000,1000,44,39,34,28,18,E,10.219398
120,100000,1000,94,78,56,27,15,E,16.423884
120,100000,1000,70,51,50,25,8,A,0.066494
120,100000,1000,78,70,46,13,11,E,11.820179
120,100000,1000,90,76,19,15,2,E,11.029445
120,100000,1000,96,67,23,22,19,E,12.865286
120,100000,1000,76,62,42,37,15,D,6.930504
120,100000,1000,81,66,59,36,18,E,17.419014
120,100000,1000,63,41,34,24,14,E,12.038636
120,100000,1000,84,55,46,19,3,B,0.109525
120,100000,1000,97,42,28,25,16,E,15.173872
